dt,author,text
2021-11-26 14:49:23,sorenpind,@DanielBendix Over to pct ekstra af BNP?!?…
2021-11-26 13:55:02,cordua_jarl,"I aften er #Besserwisserne på mange måder must-see; det er min sidste (😥) udsendelse OG vi skal se på fremtidens fmd. for DF - Støjberg, Messerschmidt, en helt tredje? Mine dygtige gæster kender naturligvis svaret: @JoachimBOlsen, @noa_redington, @cordua_jarl, @CasperDall #dkpol https://t.co/U1BlDq6CYo"
2021-11-26 12:40:02,soolu03,"Regeringens støttepartier nedstemte blå bloks forslag om at lade FE's Center For Cybersikkerhed få et forsøg på at genskabe sms-beskeder. 

@SikandaSIDDIQUE siger: »Rigtig ærgerligt, at der ikke kom et flertal.«

#dkpol #dkmedier  

https://t.co/Bb8Jh9S3pn"
2021-11-26 12:15:40,martinnbech,"Hej @danskespil - kan det ikke længere lade sig gøre at se lottotrækningerne live? Og i så fald, hvornår stoppede det?"
2021-11-26 10:58:47,lilleholtc,".@Spolitik har gang i en meget vanskelig disciplin, hvor de med den ene tunge taler om “tonen i debatten”, men med den anden tunge kalder alle kritikere for “Trump”, “konspirationsteoretikere” og “sølvpapirshatte”. #dkpol https://t.co/90g2fWuUz6"
2021-11-26 10:24:38,cordua_jarl,Fortsætter mon denne linje med DF-enegang under Inger Støjberg eller en anden ny formand?
2021-11-26 09:48:13,annestergaa,"Trods akut lægemangel, venter specialiceret læger 33 måneder på at blive godkendt. Det er uforståeligt, at @Heunicke ikke vil sætte turbo på at løse problemet. !
#dkpol"
2021-11-26 08:41:25,thdanielsen,"@MadsBroberg @Marchen_Neel @SteenAJ @NWammen kontorchef sagde igår, at han med en kort håndakt advarede ministeren om, at der ikke var hjemmel samt at STM. forventes at forslå, at alle mink skulle slåes ned! Men pt. ka ingen huske, hvem i den lille KU-kreds, der sagde det! Hvilket navn i STM tør ingen nævne? #dkpol"
2021-11-26 08:10:58,thdanielsen,Følg Minkkommissionens afhøringer af Wammen og Heunicke https://t.co/hMyTQAGHx4 https://t.co/nucWOdSddw
2021-11-26 08:10:35,thdanielsen,"@camstampe @Heunicke Hans kontorchef sagde igår i retten, at han havde givet @NWammen en håndakt med til KU-mødet den 3. nov med budskabet om, at der ikke var hjemmel #dkpol #Minkgate"
2021-11-26 08:08:04,mortendahlin,@EngevikJoe Prøv lige selv at tage testen. Der er tilføjet fem værdispørgsmål udover denne type spørgsmål. Det gør ikke noget at sætte sig lidt ind i tingene før man tweeter 😊
2021-11-26 08:07:29,thdanielsen,"@ChrBirk @berlingske @henrik_jensen1 Igår sagde kontorchef Asbjørn Brink, at STM forventes at argumentere for en fuld aflivning af alle mink i DK! Han kunne i den lille kreds i KU dog heller ikke huske, hvem der sagde det? Hvilket navn tør folk ikke at nævne? #dkpol #minkgate"
2021-11-26 07:47:17,annimatthiesen,Dejlig morgennyhed!!!!😃😃Med @martinldamm som formand for KL - får vi igen en sikker mand ved roret!! #dkpol 
Radikale peger på Martin Damm som ny formand for KL - Altinget: Kommunal https://t.co/3yd3kBK6eQ
2021-11-26 07:25:20,janejoergensen,Det er jo helt skørt.
2021-11-26 07:16:39,ullegaard,"Hvorfor siger folk hele tiden, at der er sparet på sundhedsvæsenet? #Debatten https://t.co/W5UJU0NAUU"
2021-11-26 07:14:42,ullegaard,Er godt gammeldags indigneret. Og der skal efterhånden en del til. Sundhedsvæsenet mgl arbejdskraft. Men Sundhedsministeren nægter at lave en plan for at forkorte de alenelange ventelister på at komme til at arbejde i DK som udenlandsk læge 👎😡#dkpol 

https://t.co/cJKsSfqa8E
2021-11-26 07:09:29,soolu03,"Fra mit kontor: en stor tak til de 1000-vis af SoSu’er, som hver dag bidrager med en vigtig indsats for vores at passe på vores syge og ældre. Det er arbejde som giver mening. Drømmer du om, at gøre en forskel så søg ind på SoSu-skolen. Vi har brug for dig 💙
#taksosu #dkpol https://t.co/w8UYMxcYQB"
2021-11-26 07:07:51,martin_geertsen,Nyt forslag fra regeringen om nye afgifter. #dkpol https://t.co/R674NQ4tHr
2021-11-26 07:04:15,annimatthiesen,"Blå partier ønsker at få Center for Cybersikkerhed til at forsøge at gendanne statsministerens og hendes nærmeste rådgiveres slettede sms’er. Ekspert mener, at centeret kan gøre det. Er de røde støttepartier klar, så vi kan samle flertal for forslaget? https://t.co/BDV6B2uFIT"
2021-11-26 07:01:47,annimatthiesen,Er godt gammeldags indigneret. Og der skal efterhånden en del til. Sundhedsvæsenet mgl arbejdskraft. Men Sundhedsministeren nægter at lave en plan for at forkorte de alenelange ventelister på at komme til at arbejde i DK som udenlandsk læge 👎😡#dkpol 

https://t.co/cJKsSfqa8E
2021-11-26 07:00:35,hansandersenv,Patienterne må vente og vente. Regeringen vil helst ikke tale om udenlandsk arbejdskraft. Heller ikke udenlandske læger som vi også har brug for. #dkpol
2021-11-26 06:57:44,kplorentzen,Er godt gammeldags indigneret. Og der skal efterhånden en del til. Sundhedsvæsenet mgl arbejdskraft. Men Sundhedsministeren nægter at lave en plan for at forkorte de alenelange ventelister på at komme til at arbejde i DK som udenlandsk læge 👎😡#dkpol 

https://t.co/cJKsSfqa8E
2021-11-26 06:57:39,kplorentzen,@MortenDahlin @Martin_Geertsen @sophieloehde Og hvorfor beder regeringen ikke FE om at genskabe de slettede sms?
2021-11-26 06:57:00,janeheitmann,"Fra mit kontor: en stor tak til de 1000-vis af SoSu’er, som hver dag bidrager med en vigtig indsats for vores at passe på vores syge og ældre. Det er arbejde som giver mening. Drømmer du om, at gøre en forskel så søg ind på SoSu-skolen. Vi har brug for dig 💙
#taksosu #dkpol https://t.co/w8UYMxcYQB"
2021-11-26 06:56:44,kplorentzen,"Er alle statsministerens telefoner fra den relevante periode overdraget til politiet? Det vil justitsministeren ikke svare klart på, når @sophieloehde og jeg spørger ham i folketingssalen. Hvorfor dog ikke? #dkpol"
2021-11-26 06:56:15,timo67,"@skaarup_df @regeringDK @SFpolitik @radikale @Enhedslisten Aflivningen af minkerhvervet var vist en gave til EL, SF og Å. Så hvorfor skulle de gøre andet end symbolsk modstand mod Mettes praksis?"
2021-11-26 06:33:55,bankheidi,Er godt gammeldags indigneret. Og der skal efterhånden en del til. Sundhedsvæsenet mgl arbejdskraft. Men Sundhedsministeren nægter at lave en plan for at forkorte de alenelange ventelister på at komme til at arbejde i DK som udenlandsk læge 👎😡#dkpol 

https://t.co/cJKsSfqa8E
2021-11-26 06:25:22,martin_geertsen,"Er alle statsministerens telefoner fra den relevante periode overdraget til politiet? Det vil justitsministeren ikke svare klart på, når @sophieloehde og jeg spørger ham i folketingssalen. Hvorfor dog ikke? #dkpol"
2021-11-26 06:10:05,soolu03,Er godt gammeldags indigneret. Og der skal efterhånden en del til. Sundhedsvæsenet mgl arbejdskraft. Men Sundhedsministeren nægter at lave en plan for at forkorte de alenelange ventelister på at komme til at arbejde i DK som udenlandsk læge 👎😡#dkpol 

https://t.co/cJKsSfqa8E
2021-11-26 06:05:07,martin_geertsen,Er godt gammeldags indigneret. Og der skal efterhånden en del til. Sundhedsvæsenet mgl arbejdskraft. Men Sundhedsministeren nægter at lave en plan for at forkorte de alenelange ventelister på at komme til at arbejde i DK som udenlandsk læge 👎😡#dkpol 

https://t.co/cJKsSfqa8E
2021-11-26 05:43:29,soolu03,"Interessant interview om minksagen med min altid saglige &amp; kloge kollega, professor (emer.) Jørgen Grønnegaard Christensen: Regeringen var selektiv mht hvilke faglige vurderinger, man støttede sig til--og justerede legitimering undervejs.
#minkgate #dkpol
https://t.co/SwusgEuFIm"
2021-11-25 21:59:23,hannepigonska,"Nu kan regeringen ikke garantere, at alle statsministerens og hendes nærmeste rådgiveres mobiltelefoner er blevet udleveret til politiets it-eksperter. Hvorfor kan regeringen ikke svare klart på det såre simple spørgsmål? #dkpol https://t.co/YPDDt1csdI"
2021-11-25 21:59:06,hannepigonska,"Når Mette Frederiksen og hendes socialdemokratiske regerings samvittighed er ren som sne, som de påstår. Hvorfor svarer de så ikke bare på de simple spørgsmål? #dkpol https://t.co/d4hx7sZ2MZ"
2021-11-25 21:07:49,ellentranenorby,1/2: @Plolaeger tilbyder 2.000 nye covid-vaccinationssteder helt tæt på borgeren. Vi kan starte om nogle dage. @SSTbrostrom afviser fordi han “har hørt” at det kan være svært at komme igennem hos lægen……#sundpol https://t.co/DyFEKi41Uz
2021-11-25 19:59:39,sorenpind,"@lenevoldsgaard Men stadig: man har fået mange mange flere penge end resten af den offentlige sektor, hvor der også er et udviklingspres?"
2021-11-25 19:57:06,marleneambo,"@LylloffMonica @RandiHjortholm @Astridkrag @KlausBondam @enmillionstemm @JakobSoelvhoej @charlottebroman @AdsbolAdsbl @JacobNetteberg Det er mig en gåde at man ikke afprøver andre løsninger. Et hegn, evt. nogle støttetimer i hjemmet og lign. er da meget billigere end at drengen skal på døgninstitution.😔 Puha, det gør ondt at læse det her! Jeg skal gerne sende sagen videre til ministeren.."
2021-11-25 19:48:41,sorenpind,"Hvorfor siger folk hele tiden, at der er sparet på sundhedsvæsenet? #Debatten https://t.co/W5UJU0NAUU"
2021-11-25 19:41:33,krarup_lars,Jaaaaaaaaa 💪🏽🙌⚽️⚽️⚽️
2021-11-25 19:36:05,cordua_jarl,Uha! Jeg skriver så grimt om specifikke politikere! Det er noget værre noget! Noget gris! Uf!
2021-11-25 19:28:10,cordua_jarl,@jburmeister4321 @FStjerne @RasmusJarlov Jeg er ikke journalist
2021-11-25 19:27:51,cordua_jarl,"@RasmusJarlov Uha! Jeg skriver ""grimt om visse politikere"". Sikke noget!"
2021-11-25 18:40:36,ullegaard,Pirat-hændelsen viser vigtigheden af DKs indsats. Skulle sammen med @JakobEllemann og @Statsmin have besøgt Fregatten i dag. Er taknemmelig for bred opbakning til missionen fra regering og opposition. Af hjertet tak til besætningen for at passe på os. https://t.co/YbsKfDU5Ya https://t.co/8YM3wVwFBM
2021-11-25 18:06:52,soolu03,Trump-fan er Socialdemokratiets sandhedsvidne for ondsindet blå Trump-kampagne mod Mette Frederiksen: https://t.co/VaJ8GXoWvx
2021-11-25 18:00:04,soolu03,Pirat-hændelsen viser vigtigheden af DKs indsats. Skulle sammen med @JakobEllemann og @Statsmin have besøgt Fregatten i dag. Er taknemmelig for bred opbakning til missionen fra regering og opposition. Af hjertet tak til besætningen for at passe på os. https://t.co/YbsKfDU5Ya https://t.co/8YM3wVwFBM
2021-11-25 16:02:18,pernillebeckman,@mortengade @Mich_Ziegler @tomasbreddam Vi glæder os💪🏼
2021-11-25 13:44:27,engelschmidt,"Jeg har har fornøjelsen af at give @EUROMANdk mit bud på, hvordan man arbejder med sit netværk. https://t.co/kS99eZG62d"
2021-11-25 13:44:27,engelschmidt,"Jeg har har fornøjelsen af at give @EUROMANdk mit bud på, hvordan man arbejder med sit netværk. https://t.co/kS99eZG62d"
2021-11-25 13:09:30,mortendahlin,"Er stolt at, at @venstredk fik forhandlet spørgsmål om danske værdier ind i indfødsretsprøven. Nu er første nye udgave ude, prøv den her: https://t.co/xodofmqJIr #dkpol"
2021-11-25 11:06:54,jenspeterhansen,"RADIO4 havde her til formiddag en interessant debat om, hvorvidt hastigheder i byer generelt skal sænkes til 40 km/t og hvorvidt kommunerne skal have ansvaret for at beslutte dette. Mit bidrag starter cirka her: https://t.co/VHTLI0g1eZ #sikkercykling"
2021-11-25 09:03:00,cordua_jarl,"I det omfang at indvandrere og deres efterkommere stemmer ved valgene, så stemmer de primært på de røde partier. Når de fleste af dem faktisk abonnerer på borgerlige værdier, mener Ali Aminali. Halime Oguz er MF for SF og ikke helt enig. Debat i studiet LIVE lige straks! #dkpol"
2021-11-25 08:52:07,cordua_jarl,@ChristinaEgelun @RasmusJarlov @sorenpind I et normalt land ville man holde folk med den slags holdninger LANGT væk fra regeringstaburetterne.
2021-11-25 08:50:34,cordua_jarl,Medvirkende i @CorduaSteno fra Kl. 10.05 : @Aliaminali_C @Halime9Oguz MF @SFpolitik  @LiberalAlliance  Siegfried Matlok @JonathanNielsen @rohde_jens @KDDanmark  https://t.co/oeUWAfIc5b #dkpol
2021-11-25 08:48:15,cordua_jarl,"HØR I DAG i @CorduaSteno fra Kl. 10.05! ""Men hey chauffør, sæt mig lige af, før sviiiiiinget. I Soooooooolrøøøøøøøød! #dkpol https://t.co/oeUWAfIc5b"
2021-11-25 08:46:14,cordua_jarl,@RasmusJarlov @sorenpind Hvem fejlciterer? Du udskammer alle der ikke mener det samme som dig. Du er jo totalitær! Stop det! Tak.
2021-11-25 08:43:05,sorenpind,@RasmusJarlov @cordua_jarl https://t.co/lnyYTsugbg
2021-11-25 08:42:26,sorenpind,@RasmusJarlov @cordua_jarl https://t.co/QdokNnk6eG
2021-11-25 08:35:16,sorenpind,"@cordua_jarl @RasmusJarlov Det var også Jarlov, der hånligt betegnede frihedsrettigheder som “fine franske principper”. Om der er grundlag for at dømme folk, er alt for komplekst. En rask lille strikkekonesceance på torvet meget nemmere"
2021-11-25 08:31:57,cordua_jarl,"ALTID FRITÆNKER @RasmusJarlov er en meget endimensionel politiker, der er optaget af stammekrig og udskamning af alle, der prøver at tænke og vurdere selv. Mit ideal som borgerlig er netop at stå op imod den slags og ALTID tænke selv. Det er et løfte! #dkpol"
2021-11-25 08:24:12,cordua_jarl,@AsmusLorenzen @Kristianthdahl Tak!
2021-11-25 08:16:36,sorenpind,"Det er egentlig paradoksalt, at DF angler sådan efter at få en tidligere Vendtrekvinde som formand. Eller også er det ikke og forklarer, hvorfor udfordringerne en overgang var så store for Danmarks liberale parti."
2021-11-25 08:14:58,cordua_jarl,"KOMMENTAR: Det endte i selvovervurdering, lunefuldhed og arrogance. To gange sagde vælgerne til ham, at det var slut. Først da forstod Thulesen Dahl @Kristianthdahl, at det var slut. https://t.co/FROEGCue61 #dkpol"
2021-11-25 07:45:11,janejoergensen,@Travtosset Den er ikke indført endnu. Det er L86 som bygger på en aftale mellem regeringen og støttepartierne - 1. behandling var i går.
2021-11-25 07:44:14,janejoergensen,@vangsfeldt Ja det er det.
2021-11-25 07:43:58,janejoergensen,@JacobP32213953 Afgiften er 45 kr
2021-11-25 07:43:27,janejoergensen,@LarsAnd22738296 L86
2021-11-25 07:43:19,janejoergensen,@Kenneth_Thomsen L86
2021-11-25 07:42:43,janejoergensen,@lars_ole Det er et lovforslag L86 om betaling til musikere og komponister for lagring af musik.
2021-11-25 07:41:11,janejoergensen,@ThaiAsian Det er lovforslag L 86.
2021-11-25 06:26:49,soolu03,"Nu kan regeringen ikke garantere, at alle statsministerens og hendes nærmeste rådgiveres mobiltelefoner er blevet udleveret til politiets it-eksperter. Hvorfor kan regeringen ikke svare klart på det såre simple spørgsmål? #dkpol https://t.co/YPDDt1csdI"
2021-11-25 05:26:51,soolu03,Justitsminister: Uvist om politiet har set alle Mette Frederiksens telefoner https://t.co/bd7sJoSTWI https://t.co/vdblEfPYd4
2021-11-24 22:20:54,loneyalcinkaya,"I dag fik jeg tildelt #Dannebrogordenens #Ridderkors. Jeg er taknemlig og dybt rørt 💙 Jeg ser utrolig meget frem til den dag, jeg kan personligt takke Hendes Majestæt Dronningen for ordenen. I dag er en særlig dag 🇩🇰 https://t.co/z4llfxiSML"
2021-11-24 22:06:09,janejoergensen,"@jni_privat @CPKC88 @Aliaminali_C @R4nd4hl @Spolitik @RStoklund Jeg er i hvert fald ikke klar over, hvordan jeg har gjort mig fortjent til hans blokering. Synes jeg formulerer mig pænt og ordentligt."
2021-11-24 22:04:34,marleneambo,@MarinaEggersK @regeringDK Tak Marina og helt enig 💪🏻💙
2021-11-24 22:00:00,janejoergensen,"@HerErHenrik Jeg har den til gode. Beklager, at jeg har taget fejl, men er jeg ikke lovligt undskyldt? https://t.co/toEnceaSXn"
2021-11-24 21:54:31,janejoergensen,@CPKC88 @jni_privat @Aliaminali_C @R4nd4hl @Spolitik @RStoklund Det har i hvert fald hjulpet på mit humør :-)
2021-11-24 21:06:27,cordua_jarl,@KlaesSoebert Selvfølgelig ikke. Men jeg indrømmer at det vil udløse endnu mere kaos. Men mon ikke det bliver betingede domme? Trods alt.
2021-11-24 20:46:00,jenspeterhansen,"Men der er kommet nogle nye cyklister til – især elcyklisterne. Det gør, at hastighederne på cykelstierne er steget... citeres @BennyEngelbrech. Haverikommisionens undersøgelse af 20 elcykel ulykker fandt, at elcyklens hastighed ikke betød noget. https://t.co/Mn02YS1Bjr"
2021-11-24 20:06:09,janejoergensen,"@CPKC88 @jni_privat @Aliaminali_C @R4nd4hl @Spolitik @RStoklund Jeg synes at det er helt ok at blokere, hvis folk er grove eller meget dumme at høre på"
2021-11-24 19:57:44,soolu03,"Justitsministeren kan ikke udstede garanti om, at politiet har set alle statsministerens telefoner i minksag. https://t.co/ANBefNj2Y4"
2021-11-24 19:19:53,janejoergensen,@Aliaminali_C @R4nd4hl @Spolitik @RStoklund Jeg kan ikke skrive til ham 😂 https://t.co/t2jLUbWW1d
2021-11-24 18:12:32,hovelund,@jeppekjakobsen Men måske folketinget skal træde et skridt tilbage og lade regionerne gøre deres arbejde ?
2021-11-24 18:07:50,cordua_jarl,@Navalnoerby Tak!
2021-11-24 17:45:42,linealidell,"A Pharmaceutical Strategy for Europe: #RenewEurope believes in a competitive and innovative sector.

 @LineaLidell ""Innovation is the only way we can provide more and better medicines to patients with unmet needs""  

📰Read our press release here: https://t.co/HC1hO6njYh https://t.co/pgmMDmOuCt"
2021-11-24 16:56:54,anneehrenreich,"🇩🇰Ambassador to 🇮🇪 Ireland, @DKambIRL's Op Ed in @Independent_ie on the potential of Danish-Irish co-operation to enable Irish achievement of climate goals.🌍#BOGA #ClimateAction #GreenTogether @WindEnergyIRL 

https://t.co/mmLguOjIjf"
2021-11-24 16:40:11,hansandersenv,Nyt forslag fra regeringen om nye afgifter. #dkpol https://t.co/R674NQ4tHr
2021-11-24 16:10:38,christoffermels,"@HaakLeif @dkpolparrot Er du sikker på, at en afgift på ca. 50 kroner på alle telefoner og computere mindsker uligheden🤔 Tror den er noget mere træls for dem med små indkomster end dem med store indkomster."
2021-11-24 16:09:22,jenspeterhansen,"@anders_fjendbo Ja - en bøde på 2.000 kr. + 500 kr. til Offerfonden. Plus en betinget frakendelse, når de ved vigepligt forseelsen  har vildt skade på person eller ting"
2021-11-24 16:01:52,snsdk,"#dkpol #dkmedier @Martin_Geertsen @JakobEllemann hold fast og hovedet koldt, vi har IKKE brug for tvang til at bærer mundbind i detailhandlen eller de liberale erhverv -den er helt gal, det er et forsøg fra regeringen for at flytte fokus, dramatisere og selveiscenesætte sig selv."
2021-11-24 15:59:45,christoffermels,Så fik vi telefon- og computerafgiften oven i alle de andre afgifter Regeringen  allerede har hævet og indført😳👎 #dkpol
2021-11-24 15:57:17,janejoergensen,@m_abs @cekicozlem Hvem er spørgsmålet til?
2021-11-24 15:53:04,janejoergensen,Nyt forslag fra regeringen om nye afgifter. #dkpol https://t.co/R674NQ4tHr
2021-11-24 15:45:04,ullegaard,"Brug for flere fængselspladser og flere hænder, bedre uddannelse og mere sikre forhold for betjentene. @MortenDahlin og Preben Bang Henriksen giver @venstredk ramme for kommende forhandlinger i #dkpol om kriminalforsorgen! https://t.co/f3gQ6hE0p5"
2021-11-24 15:44:56,pernillebeckman,"Er alle statsministerens telefoner fra den relevante periode overdraget til politiet? Det vil justitsministeren ikke svare klart på, når @sophieloehde og jeg spørger ham i folketingssalen. Hvorfor dog ikke? #dkpol"
2021-11-24 15:15:59,pedersencas,"Er det ikke mærkeligt at holde pressemøde om tiltag, før man vedtager tiltagene? Hvad med at vi lige vedtager tingene inden vi holder store pressemøder - det kunne være maks læks! #dkpol #covid19dk #sundpol"
2021-11-24 14:48:29,janejoergensen,@JohansenTine @PSkipperEL @hansersej @Julie_Frolich @DJintweets Det var top hyggeligt :-)
2021-11-24 14:47:04,janejoergensen,"@jmhajek Det er ikke en sammenligning, jeg selv ville have brugt."
2021-11-24 14:44:55,janejoergensen,@JaEmDa66 Jo
2021-11-24 14:40:15,cordua_jarl,@JaEmDa66 @H_Almestrand Ja hvis vælgerne ønsker det
2021-11-24 13:24:30,mortendahlin,@mortenskaerbaek @sophieloehde Han ville ikke give en garanti.
2021-11-24 12:53:48,cordua_jarl,@detfrieord Jeg har ikke hemmelig adresse. Men jeg gider ikke diskutere med dig. Du er en bralrerøv og jeg blokerer dig nu.
